Stock,Date,Buy/Sell
AMZN,12/15/2020,0
AMZN,1/12/2021,0
AMZN,6/4/2019,0
AMZN,8/13/2019,0
AMZN,12/11/2019,0
AMZN,3/16/2020,0
AMZN,9/29/2020,0
AMZN,11/16/2020,0
AMZN,5/29/2019,0
AMZN,8/5/2019,0
AMZN,11/18/2019,0
AMZN,12/11/2019,0
AMZN,3/5/2020,0
AMZN,9/17/2020,0
AMZN,10/28/2020,0
AMZN,11/17/2020,0
AMZN,8/15/2019,0
AMZN,3/25/2020,0
AMZN,11/18/2020,0
AMZN,9/11/2019,0
AMZN,11/18/2020,0
AMZN,12/11/2020,0
BTC,3/7/2019,0
BTC,6/8/2019,0
BTC,7/16/2019,0
BTC,8/18/2019,0
BTC,9/21/2019,0
BTC,10/18/2019,0
BTC,11/13/2019,0
BTC,12/14/2019,0
BTC,2/23/2020,0
BTC,5/26/2020,0
BTC,6/16/2020,0
BTC,7/19/2020,0
BTC,8/26/2020,0
BTC,9/29/2020,0
BTC,10/3/2020,0
BTC,7/30/2019,0
BTC,8/29/2019,0
BTC,11/24/2019,0
BTC,3/6/2020,0
BTC,6/29/2020,0
BTC,9/9/2020,0
BTC,7/24/2019,0
BTC,8/18/2019,0
BTC,9/11/2019,0
BTC,11/19/2019,0
BTC,2/29/2020,0
BTC,6/21/2020,0
BTC,6/24/2020,0
BTC,9/6/2020,0
BTC,9/6/2019,0
BTC,3/14/2020,0
BTC,9/20/2019,0
BTC,3/27/2020,0
BTC,10/18/2020,0
BTC,10/26/2019,0
BTC,3/25/2020,0
FB,2/27/2019,0
FB,3/22/2019,0
FB,5/16/2019,0
FB,7/31/2019,0
FB,9/26/2019,0
FB,12/17/2019,0
FB,1/31/2020,0
FB,2/24/2020,0
FB,7/2/2020,0
FB,7/28/2020,0
FB,9/15/2020,0
FB,11/19/2020,0
FB,12/18/2020,0
FB,6/6/2019,0
FB,8/19/2019,0
FB,2/25/2020,0
FB,10/2/2020,0
FB,12/31/2020,0
FB,6/3/2019,0
FB,8/9/2019,0
FB,2/11/2020,0
FB,2/25/2020,0
FB,9/22/2020,0
FB,12/21/2020,0
FB,10/1/2019,0
FB,3/20/2020,0
FB,8/26/2019,0
FB,3/9/2020,0
FB,1/8/2021,0
FB,3/27/2020,0
Gold,3/3/2019,0
Gold,4/3/2019,0
Gold,5/23/2019,0
Gold,9/10/2019,0
Gold,10/2/2019,0
Gold,11/10/2019,0
Gold,2/12/2020,0
Gold,3/16/2020,0
Gold,5/3/2020,0
Gold,6/1/2020,0
Gold,8/18/2020,0
Gold,9/8/2020,0
Gold,9/11/2020,0
Gold,9/22/2020,0
Gold,10/29/2020,0
Gold,3/17/2019,0
Gold,9/29/2019,0
Gold,3/24/2020,0
Gold,9/17/2020,0
Gold,9/30/2019,0
Gold,11/6/2019,0
Gold,3/18/2020,0
Gold,6/7/2020,0
Gold,9/17/2020,0
Gold,11/17/2019,0
Gold,11/10/2020,0
Gold,11/11/2019,0
Gold,10/30/2020,0
GOOG,2/28/2019,0
GOOG,4/5/2019,0
GOOG,5/6/2019,0
GOOG,8/15/2019,0
GOOG,10/3/2019,0
GOOG,12/3/2019,0
GOOG,2/27/2020,0
GOOG,6/29/2020,0
GOOG,8/3/2020,0
GOOG,9/14/2020,0
GOOG,12/17/2020,0
GOOG,5/17/2019,0
GOOG,3/9/2020,0
GOOG,9/29/2020,0
GOOG,1/12/2021,0
GOOG,5/9/2019,0
GOOG,3/2/2020,0
GOOG,9/17/2020,0
GOOG,1/12/2021,0
GOOG,6/21/2019,0
GOOG,3/31/2020,0
GOOG,3/16/2020,0
GOOG,10/6/2020,0
GOOG,4/21/2020,0
MRNA,3/14/2019,0
MRNA,5/15/2019,0
MRNA,10/2/2019,0
MRNA,12/12/2019,0
MRNA,1/8/2020,0
MRNA,2/12/2020,0
MRNA,6/3/2020,0
MRNA,7/6/2020,0
MRNA,8/7/2020,0
MRNA,10/26/2020,0
MRNA,12/23/2020,0
MRNA,5/22/2019,0
MRNA,10/10/2019,0
MRNA,1/9/2020,0
MRNA,2/21/2020,0
MRNA,8/19/2020,0
MRNA,6/3/2019,0
MRNA,10/22/2019,0
MRNA,8/28/2020,0
MRNA,6/11/2019,0
MRNA,9/11/2020,0
MRNA,6/27/2019,0
MRNA,10/19/2020,0
