Stock,Date,Buy/Sell,JSON File Name,Sentiment Score
FB,2252020,0,FB02252020,0.9793
FB,9222020,0,FB09222020,-0.9603
FB,12212020,0,FB12212020,-0.4588
FB,10012019,0,FB10012019,-0.9881
FB,3202020,0,FB03202020,-0.5719
FB,8262019,0,FB08262019,-0.2654
FB,3092020,0,FB03092020,-0.9022
FB,1082021,0,FB01082021,0.624
FB,3272020,0,FB03272020,-0.296
Gold,3032019,0,Gold03032019,
Gold,4032019,0,Gold04032019,
Gold,5232019,0,Gold05232019,
Gold,9102019,0,Gold09102019,-0.2263
Gold,10022019,0,Gold10022019,
Gold,11102019,0,Gold11102019,
Gold,2122020,0,Gold02122020,0.2732
Gold,3162020,0,Gold03162020,0.25
Gold,5032020,0,Gold05032020,
Gold,6012020,0,Gold06012020,0.9758
Gold,8182020,0,Gold08182020,0.8357
Gold,9082020,0,Gold09082020,0.6369
Gold,9112020,0,Gold09112020,0.8594
Gold,9222020,0,Gold09222020,
Gold,10292020,0,Gold10292020,0.9382
Gold,3172019,0,Gold03172019,
Gold,9292019,0,Gold09292019,
Gold,3242020,0,Gold03242020,
Gold,9172020,0,Gold09172020,0.8875
Gold,9302019,0,Gold09302019,0.7506
Gold,11062019,0,Gold11062019,0.7351
Gold,3182020,0,Gold03182020,0.8779
Gold,6072020,0,Gold06072020,
Gold,9172020,0,Gold09172020,0.8875
Gold,11172019,0,Gold11172019,0.6808
Gold,11102020,0,Gold11102020,-0.7102
Gold,11112019,0,Gold11112019,
Gold,10302020,0,Gold10302020,0.8658
GOOG,2282019,0,GOOG02282019,0
GOOG,4052019,0,GOOG04052019,-0.7717
GOOG,5062019,0,GOOG05062019,0.8225
GOOG,8152019,0,GOOG08152019,0.9825
GOOG,10032019,0,GOOG10032019,0.9839
GOOG,12032019,0,GOOG12032019,-0.9965
GOOG,2272020,0,GOOG02272020,0.8968
GOOG,6292020,0,GOOG06292020,0.9548
GOOG,8032020,0,GOOG08032020,0.9993
GOOG,9142020,0,GOOG09142020,0.9726
GOOG,12172020,0,GOOG12172020,0.9863
GOOG,5172019,0,GOOG05172019,-0.4404
GOOG,3092020,0,GOOG03092020,0.5095
GOOG,9292020,0,GOOG09292020,0.9803
GOOG,1122021,0,GOOG01122021,-0.6588
GOOG,5092019,0,GOOG05092019,0.7096
GOOG,3022020,0,GOOG03022020,0.929
GOOG,9172020,0,GOOG09172020,-0.9489
GOOG,1122021,0,GOOG01122021,-0.6588
GOOG,6212019,0,GOOG06212019,0.9364
GOOG,3312020,0,GOOG03312020,0.25
GOOG,3162020,0,GOOG03162020,0.9894
GOOG,10062020,0,GOOG10062020,0.9949
GOOG,4212020,0,GOOG04212020,0.8689
MRNA,3142019,0,MRNA03142019,
MRNA,5152019,0,MRNA05152019,
MRNA,10022019,0,MRNA10022019,
MRNA,12122019,0,MRNA12122019,
MRNA,1082020,0,MRNA01082020,
MRNA,2122020,0,MRNA02122020,0.3818
MRNA,6032020,0,MRNA06032020,0.936
MRNA,7062020,0,MRNA07062020,0.97
MRNA,8072020,0,MRNA08072020,-0.25
MRNA,10262020,0,MRNA10262020,0.9737
MRNA,12232020,0,MRNA12232020,0.9358
MRNA,5222019,0,MRNA05222019,
MRNA,10102019,0,MRNA10102019,
MRNA,1092020,0,MRNA01092020,0
MRNA,2212020,0,MRNA02212020,0.5994
MRNA,8192020,0,MRNA08192020,0.7717
MRNA,6032019,0,MRNA06032019,
MRNA,10222019,0,MRNA10222019,
MRNA,8282020,0,MRNA08282020,0.9001
MRNA,6112019,0,MRNA06112019,
MRNA,9112020,0,MRNA09112020,-0.4404
MRNA,6272019,0,MRNA06272019,
MRNA,10192020,0,MRNA10192020,0.6322
MSFT,5152019,0,MSFT05152019,0.802
MSFT,5302019,0,MSFT05302019,0.8981
MSFT,8062019,0,MSFT08062019,0.8847
MSFT,9042019,0,MSFT09042019,0.9905
MSFT,10032019,0,MSFT10032019,0.9647
MSFT,2272020,0,MSFT02272020,0.9658
MSFT,6032020,0,MSFT06032020,0.9805
MSFT,7272020,0,MSFT07272020,0.9788
MSFT,9142020,0,MSFT09142020,0.7714
MSFT,10282020,0,MSFT10282020,0.9919
MSFT,11302020,0,MSFT11302020,0.9806
MSFT,12142020,0,MSFT12142020,0.9562
MSFT,1122021,0,MSFT01122021,0.4767
MSFT,8262019,0,MSFT08262019,0.988
MSFT,3132020,0,MSFT03132020,0.9982
MSFT,9292020,0,MSFT09292020,-0.8442
MSFT,12152020,0,MSFT12152020,0.969
MSFT,8152019,0,MSFT08152019,0.5725
MSFT,8222019,0,MSFT08222019,-0.0516
MSFT,9182019,0,MSFT09182019,0.9689
MSFT,10092019,0,MSFT10092019,0.765
MSFT,3042020,0,MSFT03042020,0.09
MSFT,9152020,0,MSFT09152020,0.9615
MSFT,10292020,0,MSFT10292020,0.998
MSFT,12152020,0,MSFT12152020,0.969
MSFT,3202020,0,MSFT03202020,0.9945
MSFT,4242020,0,MSFT04242020,0.9778
MSFT,11162020,0,MSFT11162020,0.9803
MSFT,11182020,0,MSFT11182020,0.8887
Silver,2142019,0,Silver02142019,
Silver,3032019,0,Silver03032019,
Silver,4012019,0,Silver04012019,
Silver,7092019,0,Silver07092019,
Silver,9152019,0,Silver09152019,
Silver,10242019,0,Silver10242019,
Silver,11102019,0,Silver11102019,
Silver,12052019,0,Silver12052019,
Silver,1192020,0,Silver01192020,
Silver,3022020,0,Silver03022020,
Silver,4282020,0,Silver04282020,
Silver,6112020,0,Silver06112020,
Silver,8272020,0,Silver08272020,
Silver,9142020,0,Silver09142020,
Silver,10302020,0,Silver10302020,
Silver,11252020,0,Silver11252020,
Silver,10082019,0,Silver10082019,
Silver,2162020,0,Silver02162020,
Silver,2272020,0,Silver02272020,
Silver,9282020,0,Silver09282020,
Silver,12082020,0,Silver12082020,
Silver,10032019,0,Silver10032019,
Silver,11082019,0,Silver11082019,
Silver,2122020,0,Silver02122020,
